participant_id,group,trial_number,task_type,phase,bin_idx,speech_density
sub_9503423c9f70,1,1,tautological,first_correct,1,0.4384987893462469
sub_9503423c9f70,1,1,tautological,first_correct,2,0.41246973365617434
sub_9503423c9f70,1,1,tautological,first_correct,3,0.40278450363196105
sub_9503423c9f70,1,1,tautological,first_correct,4,0.15605326876513292
sub_9503423c9f70,1,1,tautological,first_correct,5,0.34987893462469655
sub_9503423c9f70,1,2,tautological,post_correct,1,0.49725411882176723
sub_9503423c9f70,1,2,tautological,post_correct,2,0.3784323514727908
sub_9503423c9f70,1,2,tautological,post_correct,3,0.45406889665501765
sub_9503423c9f70,1,2,tautological,post_correct,4,0.40688966550174754
sub_9503423c9f70,1,2,tautological,post_correct,5,0.2408886669995007
sub_9503423c9f70,1,3,tautological,post_correct,1,0.5697142857142857
sub_9503423c9f70,1,3,tautological,post_correct,2,0.32228571428571434
sub_9503423c9f70,1,3,tautological,post_correct,3,0.6057142857142855
sub_9503423c9f70,1,3,tautological,post_correct,4,0.591428571428571
sub_9503423c9f70,1,3,tautological,post_correct,5,0.5291428571428577
sub_9503423c9f70,1,4,tautological,post_correct,1,0.24655963302752298
sub_9503423c9f70,1,4,tautological,post_correct,2,0.7047018348623856
sub_9503423c9f70,1,4,tautological,post_correct,3,0.45756880733945005
sub_9503423c9f70,1,4,tautological,post_correct,4,0.5946100917431186
sub_9503423c9f70,1,4,tautological,post_correct,5,0.48509174311926656
sub_9503423c9f70,1,5,tautological,post_correct,1,0.6108343711083437
sub_9503423c9f70,1,5,tautological,post_correct,2,0.660024906600249
sub_9503423c9f70,1,5,tautological,post_correct,3,0.5790784557907844
sub_9503423c9f70,1,5,tautological,post_correct,4,0.6787048567870485
sub_9503423c9f70,1,5,tautological,post_correct,5,0.42154420921544244
sub_8c695f8dca6e,1,1,operator,pre_incorrect,1,0.3949804052363877
sub_8c695f8dca6e,1,1,operator,pre_incorrect,2,0.39485533227716196
sub_8c695f8dca6e,1,1,operator,pre_incorrect,3,0.34524305845076375
sub_8c695f8dca6e,1,1,operator,pre_incorrect,4,0.424622696573001
sub_8c695f8dca6e,1,1,operator,pre_incorrect,5,0.3447844576002672
sub_8c695f8dca6e,1,2,operator,pre_incorrect,1,0.3706745601600934
sub_8c695f8dca6e,1,2,operator,pre_incorrect,2,0.24526807304260845
sub_8c695f8dca6e,1,2,operator,pre_incorrect,3,0.1487534395063795
sub_8c695f8dca6e,1,2,operator,pre_incorrect,4,0.13816392895855945
sub_8c695f8dca6e,1,2,operator,pre_incorrect,5,0.22596514633536297
sub_8c695f8dca6e,1,3,operator,first_correct,1,0.09269289729177324
sub_8c695f8dca6e,1,3,operator,first_correct,2,0.24787940725600405
sub_8c695f8dca6e,1,3,operator,first_correct,3,0.30541645375574805
sub_8c695f8dca6e,1,3,operator,first_correct,4,0.2878896269800712
sub_8c695f8dca6e,1,3,operator,first_correct,5,0.1788451711803774
sub_8c695f8dca6e,1,4,operator,post_incorrect,1,0.5193494578815677
sub_8c695f8dca6e,1,4,operator,post_incorrect,2,0.37422852376980803
sub_8c695f8dca6e,1,4,operator,post_incorrect,3,0.2780650542118432
sub_8c695f8dca6e,1,4,operator,post_incorrect,4,0.43323603002502065
sub_8c695f8dca6e,1,4,operator,post_incorrect,5,0.2313177648040038
sub_8c695f8dca6e,1,5,operator,post_incorrect,1,0.48970232635704164
sub_8c695f8dca6e,1,5,operator,post_incorrect,2,0.13624614358375767
sub_8c695f8dca6e,1,5,operator,post_incorrect,3,0.16559659801550822
sub_8c695f8dca6e,1,5,operator,post_incorrect,4,0.10822980071708452
sub_8c695f8dca6e,1,5,operator,post_incorrect,5,0.35103810556157644
sub_3a291c7f542d,1,1,hybrid,pre_incorrect,1,0.11681814391728514
sub_3a291c7f542d,1,1,hybrid,pre_incorrect,2,0.2600683732177103
sub_3a291c7f542d,1,1,hybrid,pre_incorrect,3,0.2743266905694982
sub_3a291c7f542d,1,1,hybrid,pre_incorrect,4,0.3445343116818148
sub_3a291c7f542d,1,1,hybrid,pre_incorrect,5,0.0802134578504136
sub_3a291c7f542d,1,2,hybrid,first_correct,1,0.5271061720979126
sub_3a291c7f542d,1,2,hybrid,first_correct,2,0.18441207388496766
sub_3a291c7f542d,1,2,hybrid,first_correct,3,0.2922360714822047
sub_3a291c7f542d,1,2,hybrid,first_correct,4,0.1346298242979431
sub_3a291c7f542d,1,2,hybrid,first_correct,5,0.14619312209040417
sub_3a291c7f542d,1,3,hybrid,post_incorrect,1,0.2744934545151338
sub_3a291c7f542d,1,3,hybrid,post_incorrect,2,0.2604852830817982
sub_3a291c7f542d,1,3,hybrid,post_incorrect,3,0.18160593679646497
sub_3a291c7f542d,1,3,hybrid,post_incorrect,4,0.24176603018427384
sub_3a291c7f542d,1,3,hybrid,post_incorrect,5,0.4106145251396638
